Designator,Footprint,Quantity,Value,LCSC Part #
B101,Board_1U_60x60,1,~,
BZ101,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,Buzzer,C95054
"C201, C204, C205, C207, C301, C302",0603,6,10uF,C96446
"C202, C203, C208, C209, C210",0805,5,10uF,C15850
"C206, C303",0402,2,100nF,C1525
C211,0805,1,22uF,C45783
D201,D_SOD-323,1,D,C2128
"D301, D302, D303",D_SOD-882,3,5V,C7420372
D304,0805,1,ERROR,C84256
D305,0805,1,STAT,C2297
"F201, F202",1206,2,Polyfuse, C883133
J201,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,LiPo,
L201,L_Wuerth_WE-TPC-3816,1,L, C3033018
LED201,0805,1,USB Power,C2297
LED202,0805,1,CHARGE,C2296
LED203,0805,1,FULL,C2296
LED204,0805,1,VDD,C2297
Q101,SOT-23,1,AO3400A,C20917
R101,0402,1,510,C25123
"R102, R202, R205, R207, R303, R305",0402,6,10k,C25744
"R103, R203, R204, R206, R209, R211",0402,6,100k,C25741
"R201, R208, R210, R214",0402,4,1k,C11702
R212,0402,1,15k,C25756
R213,0402,1,47k,C25792
"R301, R302",0402,2,5.1k,C25905
"R304, R306",0402,2,470,C25117
SW201,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,Power Switch,
SW301,TVAF06-A020B-R,1,BOOT_sw,
SW302,TVAF06-A020B-R,1,RESET_sw,
U201,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-1CC, C511310
U202,VREG_TPS63070RNMR,1,TPS63070RNMR,C109322
U301,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
USB301,USB_C_TYPEC-301S-ACP16X7,1,USB_C_Receptacle_USB2.0,C2856766
