Designator,Mid X,Mid Y,Rotation,Layer
B101,93.75,-68.43,0.0,top
BZ101,86.5,-61.6,180.0,top
C201,98.2,-74.0,270.0,top
C202,88.5,-77.6,270.0,top
C203,90.5,-77.6,270.0,top
C204,99.975,-68.7,90.0,top
C205,92.3,-75.3,90.0,top
C206,97.0,-72.4,90.0,top
C207,92.3,-72.3,270.0,top
C208,88.5,-69.4,90.0,top
C209,90.5,-69.4,90.0,top
C210,93.2,-69.5,0.0,top
C301,104.7,-57.9,90.0,top
C302,99.4,-56.2,90.0,top
C303,100.7,-55.9,270.0,top
D301,97.05,-81.2,180.0,top
D302,94.2,-80.8,270.0,top
D303,92.6,-80.8,270.0,top
D304,98.5,-59.8,0.0,top
D305,98.5,-63.1,0.0,top
F201,97.0,-78.3,90.0,top
F202,84.5,-81.1,180.0,top
J201,84.582,-84.836,180.0,top
L201,89.1,-73.5,180.0,top
LED201,99.7,-77.7,90.0,top
LED202,105.2,-71.1,90.0,top
LED203,105.2,-76.7,270.0,top
LED204,96.6,-69.5,180.0,top
Q101,93.6,-57.8,0.0,top
R101,95.2,-60.8,270.0,top
R102,96.2,-60.8,90.0,top
R103,88.4,-80.4,180.0,top
R104,88.4,-81.4,0.0,top
R201,101.3,-78.1,270.0,top
R202,101.275,-69.3,270.0,top
R203_2,103.1,-76.1,180.0,top
R203,102.3,-78.1,90.0,top
R204,102.275,-69.3,90.0,top
R205,103.3,-78.1,90.0,top
R206,98.1,-71.5,90.0,top
R207,87.0,-76.9,270.0,top
R208,105.1,-73.4,180.0,top
R209,94.1,-77.2,270.0,top
R210,105.1,-74.4,180.0,top
R211,97.0,-74.3,90.0,top
R212,95.9,-71.0,180.0,top
R213,94.0,-71.0,180.0,top
R214,98.2,-68.0,0.0,top
R301,91.4,-80.8,90.0,top
R302,95.3,-80.6,90.0,top
R303,104.3,-66.4,270.0,top
R304,100.9,-60.0,90.0,top
R305,104.4,-60.5,270.0,top
R306,100.9,-62.8,270.0,top
SW201,83.8,-74.1,270.0,top
SW301,102.1,-81.2,90.0,top
SW302,102.1,-84.8,90.0,top
U201,101.5625,-72.9,180.0,top
U202,94.825,-73.5,180.0,top
U301,93.866,-61.31,0.0,bottom
USB301,93.472,-85.174,0.0,top
